Type,Capacity,Cpu,Mem,Time
Up,110,0.550188,0.723708,0
Up,120,0.674164,0.886891,0
Up,130,0.694118,0.902370,0
Up,140,0.705288,0.908742,0
Up,150,0.714742,0.916827,0
Up,160,0.719995,0.925060,0
Up,170,0.717864,0.928388,0
Up,180,0.726299,0.930990,0
Up,190,0.774216,0.939625,32700
Up,200,0.851498,0.935710,177000
Up,210,0.929568,0.852329,187800
Up,220,0.930733,0.823659,187800
Up,230,0.941524,0.812063,187800
Up,240,0.787172,0.954491,1470900
Up,250,0.765158,0.950798,1593000
Up,260,0.875466,0.877032,1596000
Up,270,0.878419,0.851493,1596000
Up,280,0.881161,0.827779,1596000
Up,290,0.883714,0.805701,1596000
Up,300,0.886097,0.785094,1596000
Up,310,0.888326,0.765817,1596000
Up,320,0.890416,0.747744,1596000
Up,330,0.957550,0.719111,2082300
Up,340,0.957478,0.702372,2082300
Up,350,0.957409,0.686590,2082300
Up,360,0.957345,0.671685,2082300
